keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Wolodymyr Selenski',de,Ukraine,#e818e8,#e818e8,2,0.1924376097593918
'Aleksandar Vučić',de,Serbien,#111111,#111111,1,0.1923816985903539
'Saskia Esken',de,Deutschland,#1818e8,#1818e8,3,0.1922346139600651
'Christian Drosten',de,Deutschland,#1818e8,#1818e8,3,0.191988304210411
'Ali Chamenei',de,Iran,#111111,#111111,3,0.1915300192224583
'Eva Kaili',de,EU,#111111,#111111,3,0.1910525127253628
'Yoon Suk-yeol',de,SüdKorea,#111111,#111111,3,0.1904242957564089
'Wolodymyr Selenskyj',de,Ukraine,#e818e8,#e818e8,3,0.190339776168724
'Sergej Lawrow',de,Russland,#e81818,#e81818,3,0.1901162263136014
'Edward Snowden',de,USA,#18e8e8,#18e8e8,1,0.189299821846266
'Rishi Sunak',de,UK,#e838e8,#e838e8,3,0.1890834447602599
'Oliver Blume',de,Deutschland,#1818e8,#1818e8,3,0.189021618034757
'Marco Buschmann',de,Deutschland,#1818e8,#1818e8,3,0.1886627991579304
'Stephan Harbarth',de,Deutschland,#1818e8,#1818e8,1,0.1880479837187309
'Fumio Kishida',de,Japan,#111111,#111111,3,0.1870351350228879
'Gautam Adani',de,Indien,#111111,#111111,3,0.186862394265635
'Karine Jean-Pierre',de,USA,#18e8e8,#18e8e8,3,0.18611209366118
'Christine Lagarde',de,EU,#111111,#111111,3,0.185711228137943
'Subrahmanyam Jaishankar',de,Indien,#111111,#111111,1,0.1856098604581918
'Jack Ma',de,China,#e88818,#e88818,2,0.1853229035189129
'Boris Palmer',de,Deutschland,#1818e8,#1818e8,1,0.1853128180963224
'Katarina Barley',de,EU,#111111,#111111,1,0.1851917272145462
'Lukaschenko',de,Belarus,#e81858,#e81858,3,0.1837074882022694
'Hun Sen',de,Kambodscha,#111111,#111111,1,0.1836343328764497
'Stefan Rahmstorf',de,Deutschland,#1818e8,#1818e8,2,0.183327861723792
'Schellnhuber',de,Deutschland,#1818e8,#1818e8,2,0.1821111226625844
'Selenski',de,Ukraine,#e818e8,#e818e8,3,0.1818983576607825
'Ricarda Lang',de,Deutschland,#1818e8,#1818e8,3,0.1812946553975996
'Sergej Schoigu',de,Russland,#e81818,#e81818,3,0.1807792522332517
'Aleksandar Vucic',de,Serbien,#111111,#111111,3,0.1799398351156475
'Marine Le Pen',de,Frankreich,#e8e808,#e8e808,2,0.1795522340493467
'Martin Schirdewan',de,Deutschland,#1818e8,#1818e8,2,0.1795387402211609
'Gregor Gysi',de,Deutschland,#1818e8,#1818e8,2,0.1793542177960141
'Anthony Fauci',de,USA,#18e8e8,#18e8e8,2,0.1791878470342988
'Michael Ballweg',de,Deutschland,#1818e8,#1818e8,1,0.1791192817129013
'Alexei Nawalny',de,Russland,#e81818,#e81818,1,0.17902709058091
'Wolfgang Schäuble',de,Deutschland,#1818e8,#1818e8,3,0.1788425699108791
'Generalbundesanwalt Peter Frank',de,Deutschland,#1818e8,#1818e8,2,0.1786992641249632
'Jewgeni Prigoschin',de,Russland,#e81818,#e81818,3,0.1782240775362346
'Warren Buffett',de,USA,#18e8e8,#18e8e8,2,0.1775660381506591
'Jürgen Grässlin',de,Deutschland,#1818e8,#1818e8,1,0.176924977767875
'Bodo Ramelow',de,Deutschland,#1818e8,#1818e8,2,0.1766936292690908
'Tamim bin Hamad Al Thani',de,Katar,#111111,#111111,1,0.1766290482104179
'Benjamin Netanjahu',de,Israel,#111111,#111111,3,0.1765678329065039
'Sergej Lavrov',de,Russland,#e81818,#e81818,1,0.1760797508627646
'Susanne Klatten',de,Deutschland,#1818e8,#1818e8,1,0.1754588418222482
'Nicola Sturgeon',de,UK,#e838e8,#e838e8,2,0.1747205822230828
'Fidel Castro',de,Kuba,#111111,#111111,2,0.1744044789876273
'Chelsea Manning',de,USA,#18e8e8,#18e8e8,1,0.174377921347221
'Heinrich XIII. Prinz Reuß',de,Deutschland,#1818e8,#1818e8,1,0.17418740344418793
'Narendra Modi',de,Indien,#111111,#111111,1,0.1732116652884233
'Sahra Wagenknecht',de,Deutschland,#1818e8,#1818e8,3,0.173142414839009
'Robin Li',de,China,#e88818,#e88818,2,0.1723977670136602
'Jeff Bezos',de,USA,#18e8e8,#18e8e8,2,0.1707462259101499
'Thierry Breton',de,EU,#111111,#111111,2,0.1707289014687776
'Patriarch Kyrill',de,Ukraine,#e818e8,#e818e8,3,0.1693208263747925
'Steffen Große',de,Deutschland,#1818e8,#1818e8,3,0.1691721884226711
'Nikos Androulakis',de,Griechenland,#1858e8,#1858e8,1,0.1689813307046576
'Mohammed bin Salman',de,SaudiArabien,#111111,#111111,2,0.1686832970847381
'Jitzchak Herzog',de,Israel,#111111,#111111,1,0.1685239651161402
'Andreas Baum',de,Deutschland,#1818e8,#1818e8,1,0.168427951669922
'Vitali Klitschko',de,Ukraine,#e818e8,#e818e8,3,0.1682858259412571
'Andrea Lindholz',de,Deutschland,#1818e8,#1818e8,1,0.1682330934331513
'Rainer Maria Woelki',de,Deutschland,#1818e8,#1818e8,3,0.167805095307067
'Paul Ronzheimer',de,Deutschland,#1818e8,#1818e8,1,0.1673837095450341
'Nicola Beer',de,EU,#111111,#111111,1,0.1667440068151918
'Bill Gates',de,USA,#18e8e8,#18e8e8,3,0.1662608572072938
'Justin Trudeau',de,Kanada,#111111,#111111,3,0.1634951557403245
'Andrzej Duda',de,Polen,#111111,#111111,3,0.1631082021493734
'Giorgia Meloni',de,Italien,#111111,#111111,3,0.1626880248386783
'Martin Sonneborn',de,Deutschland,#1818e8,#1818e8,1,0.1626472021141365
'Roland Busch',de,Deutschland,#1818e8,#1818e8,1,0.1622329353036584
'Jewgenij Roisman',de,Russland,#e81818,#e81818,1,0.162190054408383
'Bruno Kahl',de,Deutschland,#1818e8,#1818e8,1,0.1613759550518236
'Michael Kretschmer',de,Deutschland,#1818e8,#1818e8,3,0.1612801363368294
'Michelle Obama',de,USA,#18e8e8,#18e8e8,2,0.1612486957526056
'Melinda Gates',de,USA,#18e8e8,#18e8e8,1,0.1608978664171119
'Lula sa Silva',de,Brasilien,#58e838,#58e838,1,0.1604474658500764
'Jair Bolsonaro',de,Brasilien,#58e838,#58e848,3,0.1603162913540789
'Erik Marquardt',de,EU,#111111,#111111,1,0.1593143924260272
'Kim Jong-un',de,NordKorea,#e85858,#e85858,2,0.158551711596083
'Joko Widodo',de,Indonesien,#111111,#111111,1,0.1579323517396349
'Patrick Pouyanné',de,Frankreich,#e8e808,#e8e808,1,0.1576387496538875
'Holger Münch',de,Deutschland,#1818e8,#1818e8,1,0.1546449376092776
'Pedro Sánchez',de,Spanien,#111111,#111111,3,0.1544474795243077
'Mojib Latif',de,Deutschland,#1818e8,#1818e8,1,0.1542132362785454
'Ebrahim Raisi',de,Iran,#111111,#111111,2,0.1542038089083875
'Julian Assange',de,Australien,#111111,#111111,2,0.1535210258180711
'Kardinal Woelki',de,Deutschland,#1818e8,#1818e8,3,0.1524672705192936
'Otmar Issing',de,EU,#111111,#111111,2,0.1503360076649887
'Volker Wissing',de,Deutschland,#1818e8,#1818e8,3,0.1503320227641828
'Veronika Grimm',de,Deutschland,#1818e8,#1818e8,1,0.1492485262795565
'Jair Lapid',de,Israel,#111111,#111111,2,0.1491681389112976
'Julia Koch',de,USA,#18e8e8,#18e8e8,2,0.1474606893609312
'Muhammad bin Zayid Al Nahyan',de,VAE,#111111,#111111,1,0.1473464192389361
'Badri Hosseini Chamenei',de,Iran,#111111,#111111,1,0.1464430820964225
'Warren Buffet',de,USA,#18e8e8,#18e8e8,1,0.1449553842484199
'Macky Sall',de,Senegal,#111111,#111111,1,0.1448548718339928
'Klaus Hasselmann',de,Deutschland,#1818e8,#1818e8,1,0.1426069501782162
'Alice Schwarzer',de,Deutschland,#1818e8,#1818e8,1,0.1422162383933433
'Sergey Brin',de,USA,#18e8e8,#18e8e8,2,0.1416478435878737
'Carola Rackete',de,Deutschland,#1818e8,#1818e8,1,0.1415173431759021
