index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/politik/deutschland/2023-04/olaf-scholz-erster-mai-spd-arbeitnehmerschaft,https://www.zeit.de/politik/deutschland/2023-04/olaf-scholz-erster-mai-spd-arbeitnehmerschaft,0,www.zeit.de,Olaf Scholz am 1. Mai: Der Genosse der Genossen,"Das Verhältnis von SPD und Gewerkschaften war nie einfach, oft geprägt von Misstrauen und Arroganz. Jetzt loben die Gewerkschaften Kanzler Olaf Scholz. Was ist da los?",,2023-05-01T08:02:57Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Olaf Scholz'
https://www.zeit.de/news/2023-05/01/olaf-scholz-ueber-regierung-wir-sind-nette-leute,https://www.zeit.de/news/2023-05/01/olaf-scholz-ueber-regierung-wir-sind-nette-leute,0,www.zeit.de,Gesellschaft: Olaf Scholz über Regierung: «Wir sind nette Leute»,,,2023-05-01T18:27:33Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Olaf Scholz'
https://www.faz.net/aktuell/feuilleton/olaf-scholz-schmaeht-das-deutsche-eck-in-koblenz-18863073.html,https://www.faz.net/aktuell/feuilleton/olaf-scholz-schmaeht-das-deutsche-eck-in-koblenz-18863073.html,0,www.faz.net,Olaf Scholz schmäht das Deutsche Eck und denkt selbst nationalistisch,"Bei der Kundgebung des Deutschen Gewerkschaftsbundes zum 1. Mai in Koblenz spricht der Bundeskanzler. Und er schmäht erst einmal den Ort, an dem er redet. Aber weiß er, was er da sagt?",https://media0.faz.net/ppmedia/aktuell/gesellschaft/62691997/1.8863072/facebook_teaser/olaf-scholz-bei-seiner-rede-zum-1-mai-2023-in-koblenz.jpg,2023-05-02T14:48:50Z,,"In Koblenz kommt zusammen, was zusammengehört: Mosel und Rhein (deshalb ja der Name Koblenz vom lateinischen confluentia, dem Zusammenfluss). Sonne und 1. Mai (am Montag bei der dortigen Kundgebung d… [+2545 chars]",,de,'Olaf Scholz'
